[2021-07-23 07:22:26.678] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-23 07:22:26.678] [remoteagent] [info] Extension host agent started.
[2021-07-23 07:22:27.859] [remoteagent] [info] [127.0.0.1][46fd067c][ManagementConnection] New connection established.
[2021-07-23 07:22:27.870] [remoteagent] [info] [127.0.0.1][4230cbae][ManagementConnection] New connection established.
[2021-07-23 07:22:28.155] [remoteagent] [info] [127.0.0.1][bd953034][ManagementConnection] New connection established.
[2021-07-23 07:22:28.391] [remoteagent] [info] [127.0.0.1][0360572d][ExtensionHostConnection] New connection established.
[2021-07-23 07:22:28.635] [remoteagent] [info] [127.0.0.1][cd00d4e1][ExtensionHostConnection] New connection established.
[2021-07-23 07:22:28.659] [remoteagent] [info] [127.0.0.1][0360572d][ExtensionHostConnection] <27547> Launched Extension Host Process.
[2021-07-23 07:22:28.668] [remoteagent] [info] [127.0.0.1][cd00d4e1][ExtensionHostConnection] <27548> Launched Extension Host Process.
[2021-07-23 07:22:29.339] [remoteagent] [info] [127.0.0.1][0411dc81][ExtensionHostConnection] New connection established.
[2021-07-23 07:22:29.421] [remoteagent] [info] [127.0.0.1][0411dc81][ExtensionHostConnection] <27584> Launched Extension Host Process.
[2021-07-23 07:22:31.067] [remoteagent] [warning] Resolved variables received without matching request 1
[2021-07-23 07:22:31.067] [remoteagent] [warning] Resolved variables received without matching request 2
[2021-07-23 07:22:31.346] [remoteagent] [warning] Resolved variables received without matching request 3
[2021-07-23 07:22:31.346] [remoteagent] [warning] Resolved variables received without matching request 4
[2021-07-23 07:22:31.346] [remoteagent] [warning] Resolved variables received without matching request 5
[2021-07-23 07:22:31.389] [remoteagent] [warning] Resolved variables received without matching request 3
[2021-07-23 07:22:31.389] [remoteagent] [warning] Resolved variables received without matching request 4
[2021-07-23 07:22:31.389] [remoteagent] [warning] Resolved variables received without matching request 5
[2021-07-23 07:22:31.523] [remoteagent] [warning] Resolved variables received without matching request 6
[2021-07-23 07:22:31.524] [remoteagent] [warning] Resolved variables received without matching request 6
[2021-07-23 07:22:31.666] [remoteagent] [warning] Resolved variables received without matching request 7
[2021-07-23 07:22:31.667] [remoteagent] [warning] Resolved variables received without matching request 8
[2021-07-23 07:22:31.667] [remoteagent] [warning] Resolved variables received without matching request 9
[2021-07-23 07:22:31.686] [remoteagent] [warning] Resolved variables received without matching request 7
[2021-07-23 07:22:31.686] [remoteagent] [warning] Resolved variables received without matching request 8
[2021-07-23 07:22:31.686] [remoteagent] [warning] Resolved variables received without matching request 9
[2021-07-23 07:22:31.721] [remoteagent] [warning] Resolved variables received without matching request 10
[2021-07-23 07:22:31.731] [remoteagent] [warning] Resolved variables received without matching request 11
[2021-07-23 07:22:32.443] [remoteagent] [warning] Resolved variables received without matching request 10
[2021-07-23 07:22:32.450] [remoteagent] [warning] Resolved variables received without matching request 11
[2021-07-23 07:22:32.597] [remoteagent] [warning] Resolved variables received without matching request 12
[2021-07-23 07:22:32.597] [remoteagent] [warning] Resolved variables received without matching request 13
[2021-07-23 07:22:32.609] [remoteagent] [warning] Resolved variables received without matching request 14
[2021-07-23 07:22:32.609] [remoteagent] [warning] Resolved variables received without matching request 15
[2021-07-23 07:22:32.666] [remoteagent] [warning] Resolved variables received without matching request 12
[2021-07-23 07:22:32.667] [remoteagent] [warning] Resolved variables received without matching request 13
[2021-07-23 07:22:32.699] [remoteagent] [warning] Resolved variables received without matching request 14
[2021-07-23 07:22:32.699] [remoteagent] [warning] Resolved variables received without matching request 15
[2021-07-23 07:22:32.704] [remoteagent] [warning] Resolved variables received without matching request 16
[2021-07-23 07:22:32.946] [remoteagent] [warning] Resolved variables received without matching request 16
[2021-07-23 07:22:32.961] [remoteagent] [warning] Resolved variables received without matching request 17
[2021-07-23 07:22:32.966] [remoteagent] [warning] Resolved variables received without matching request 18
[2021-07-23 07:22:32.967] [remoteagent] [warning] Resolved variables received without matching request 19
[2021-07-23 07:22:32.967] [remoteagent] [warning] Resolved variables received without matching request 20
[2021-07-23 07:22:32.967] [remoteagent] [warning] Resolved variables received without matching request 21
[2021-07-23 07:22:33.120] [remoteagent] [warning] Resolved variables received without matching request 17
[2021-07-23 07:22:33.161] [remoteagent] [warning] Resolved variables received without matching request 18
[2021-07-23 07:22:33.940] [remoteagent] [warning] Resolved variables received without matching request 19
[2021-07-23 07:22:33.940] [remoteagent] [warning] Resolved variables received without matching request 20
[2021-07-23 07:22:33.940] [remoteagent] [warning] Resolved variables received without matching request 21
[2021-07-23 07:22:33.985] [remoteagent] [warning] Resolved variables received without matching request 22
[2021-07-23 07:22:34.021] [remoteagent] [warning] Resolved variables received without matching request 22
[2021-07-23 07:22:34.031] [remoteagent] [warning] Resolved variables received without matching request 23
[2021-07-23 07:22:34.050] [remoteagent] [warning] Resolved variables received without matching request 23
[2021-07-23 07:22:34.082] [remoteagent] [warning] Resolved variables received without matching request 24
[2021-07-23 07:22:34.104] [remoteagent] [warning] Resolved variables received without matching request 25
[2021-07-23 07:22:34.122] [remoteagent] [warning] Resolved variables received without matching request 26
[2021-07-23 07:22:34.124] [remoteagent] [warning] Resolved variables received without matching request 27
[2021-07-23 07:22:34.144] [remoteagent] [warning] Resolved variables received without matching request 28
[2021-07-23 07:22:34.186] [remoteagent] [warning] Resolved variables received without matching request 29
[2021-07-23 07:22:34.273] [remoteagent] [warning] Resolved variables received without matching request 30
[2021-07-23 07:22:34.301] [remoteagent] [warning] Resolved variables received without matching request 31
[2021-07-23 07:22:34.307] [remoteagent] [warning] Resolved variables received without matching request 32
[2021-07-23 07:22:34.307] [remoteagent] [warning] Resolved variables received without matching request 33
[2021-07-23 07:22:34.307] [remoteagent] [warning] Resolved variables received without matching request 34
[2021-07-23 07:22:34.463] [remoteagent] [warning] Resolved variables received without matching request 24
[2021-07-23 07:22:34.473] [remoteagent] [warning] Resolved variables received without matching request 25
[2021-07-23 07:22:34.482] [remoteagent] [warning] Resolved variables received without matching request 35
[2021-07-23 07:22:34.508] [remoteagent] [warning] Resolved variables received without matching request 26
[2021-07-23 07:22:34.508] [remoteagent] [warning] Resolved variables received without matching request 27
[2021-07-23 07:22:34.518] [remoteagent] [warning] Resolved variables received without matching request 36
