[2021-07-28 23:36:01.484] [remoteagent] [info] 

*
* Visual Studio Code Server
*
* Reminder: You may only use this software with Visual Studio family products,
* as described in the license https://aka.ms/vscode-remote/license
*


[2021-07-28 23:36:01.484] [remoteagent] [info] Extension host agent started.
[2021-07-28 23:36:02.591] [remoteagent] [info] [127.0.0.1][c0f1e2d5][ManagementConnection] New connection established.
[2021-07-28 23:36:02.816] [remoteagent] [info] [127.0.0.1][39dfe54f][ManagementConnection] New connection established.
[2021-07-28 23:36:03.112] [remoteagent] [info] [127.0.0.1][5600a91c][ExtensionHostConnection] New connection established.
[2021-07-28 23:36:03.392] [remoteagent] [info] [127.0.0.1][5600a91c][ExtensionHostConnection] <6417> Launched Extension Host Process.
[2021-07-28 23:36:03.444] [remoteagent] [info] [127.0.0.1][e59806af][ExtensionHostConnection] New connection established.
[2021-07-28 23:36:03.502] [remoteagent] [info] [127.0.0.1][e59806af][ExtensionHostConnection] <6429> Launched Extension Host Process.
[2021-07-28 23:36:05.165] [remoteagent] [warning] Resolved variables received without matching request 1
[2021-07-28 23:36:05.165] [remoteagent] [warning] Resolved variables received without matching request 2
[2021-07-28 23:36:05.249] [remoteagent] [warning] Resolved variables received without matching request 3
[2021-07-28 23:36:05.249] [remoteagent] [warning] Resolved variables received without matching request 4
[2021-07-28 23:36:05.250] [remoteagent] [warning] Resolved variables received without matching request 5
[2021-07-28 23:36:06.078] [remoteagent] [warning] Resolved variables received without matching request 6
[2021-07-28 23:36:06.078] [remoteagent] [warning] Resolved variables received without matching request 7
[2021-07-28 23:36:06.098] [remoteagent] [warning] Resolved variables received without matching request 8
[2021-07-28 23:36:06.098] [remoteagent] [warning] Resolved variables received without matching request 9
[2021-07-28 23:36:06.887] [remoteagent] [warning] Resolved variables received without matching request 10
[2021-07-28 23:36:06.887] [remoteagent] [warning] Resolved variables received without matching request 11
[2021-07-28 23:36:06.888] [remoteagent] [warning] Resolved variables received without matching request 12
[2021-07-28 23:36:07.419] [remoteagent] [warning] Resolved variables received without matching request 13
[2021-07-28 23:36:07.419] [remoteagent] [warning] Resolved variables received without matching request 14
[2021-07-28 23:36:07.427] [remoteagent] [warning] Resolved variables received without matching request 15
[2021-07-28 23:36:07.435] [remoteagent] [warning] Resolved variables received without matching request 16
[2021-07-28 23:36:07.437] [remoteagent] [warning] Resolved variables received without matching request 17
[2021-07-28 23:36:07.482] [remoteagent] [warning] Resolved variables received without matching request 18
[2021-07-28 23:36:07.482] [remoteagent] [warning] Resolved variables received without matching request 19
[2021-07-28 23:36:07.482] [remoteagent] [warning] Resolved variables received without matching request 20
[2021-07-28 23:36:07.744] [remoteagent] [warning] Resolved variables received without matching request 21
[2021-07-28 23:36:07.744] [remoteagent] [warning] Resolved variables received without matching request 22
[2021-07-28 23:36:07.764] [remoteagent] [warning] Resolved variables received without matching request 23
[2021-07-28 23:36:07.768] [remoteagent] [warning] Resolved variables received without matching request 24
[2021-07-28 23:36:07.775] [remoteagent] [warning] Resolved variables received without matching request 25
[2021-07-28 23:36:07.777] [remoteagent] [warning] Resolved variables received without matching request 26
[2021-07-28 23:36:07.777] [remoteagent] [warning] Resolved variables received without matching request 27
[2021-07-28 23:36:07.777] [remoteagent] [warning] Resolved variables received without matching request 28
[2021-07-28 23:36:08.012] [remoteagent] [warning] Resolved variables received without matching request 29
[2021-07-28 23:36:08.012] [remoteagent] [warning] Resolved variables received without matching request 30
[2021-07-28 23:36:08.104] [remoteagent] [warning] Resolved variables received without matching request 31
[2021-07-28 23:36:08.107] [remoteagent] [warning] Resolved variables received without matching request 32
[2021-07-28 23:36:08.111] [remoteagent] [warning] Resolved variables received without matching request 33
[2021-07-28 23:36:08.114] [remoteagent] [warning] Resolved variables received without matching request 34
[2021-07-28 23:36:08.114] [remoteagent] [warning] Resolved variables received without matching request 35
[2021-07-28 23:36:08.114] [remoteagent] [warning] Resolved variables received without matching request 36
[2021-07-28 23:36:08.118] [remoteagent] [warning] Resolved variables received without matching request 37
[2021-07-28 23:36:08.285] [remoteagent] [warning] Resolved variables received without matching request 38
[2021-07-28 23:36:08.285] [remoteagent] [warning] Resolved variables received without matching request 39
[2021-07-28 23:36:08.341] [remoteagent] [warning] Resolved variables received without matching request 40
[2021-07-28 23:36:08.426] [remoteagent] [warning] Resolved variables received without matching request 41
[2021-07-28 23:36:08.426] [remoteagent] [warning] Resolved variables received without matching request 42
[2021-07-28 23:36:08.603] [remoteagent] [warning] Resolved variables received without matching request 43
[2021-07-28 23:36:08.720] [remoteagent] [warning] Resolved variables received without matching request 44
[2021-07-28 23:36:08.722] [remoteagent] [warning] Resolved variables received without matching request 45
[2021-07-28 23:36:08.905] [remoteagent] [warning] Resolved variables received without matching request 46
[2021-07-28 23:36:08.991] [remoteagent] [warning] Resolved variables received without matching request 47
[2021-07-28 23:36:09.169] [remoteagent] [warning] Resolved variables received without matching request 48
